序號,縣市別代碼,工廠名稱,登記編號,廠址,產業類別,產品名稱
206,66000,臺中市烏日區農會溪埧碾米廠,99642825,臺中市烏日區溪埧里溪南路一段712號,08食品製造業,086碾榖、磨粉及澱粉製品
207,66000,長興食品化工原料股份有限公司,99642880,臺中市神岡區社南里中山路六六七巷三七弄五號,08食品製造業,089其他食品
208,66000,雪花齋餅行,99642896,臺中市豐原區頂街里中正路一九八號,08食品製造業,089其他食品
209,66000,古味堂製?廠有限公司太平廠,99642926,臺中市太平區光華里大興二一街六五號,08食品製造業,089其他食品
210,66000,王哥食品有限公司,99642939,臺中市太平區東平里中和街二五０號,08食品製造業,089其他食品
211,66000,新建成米工廠,99642946,臺中市大甲區頂店里彈正路五五號,08食品製造業,086碾榖、磨粉及澱粉製品
212,66000,港橋食品廠有限公司,99643018,臺中市神岡區岸裡里大豐路五段455巷1號,08食品製造業,089其他食品
213,66000,中翔製冰廠,99643069,臺中市大里區大元里國中路252號,08食品製造業,089其他食品
214,66000,輝南有限公司神岡廠,99643080,臺中市神岡區豐洲里東洲路一六九之三號,08食品製造業,089其他食品
215,66000,恒昌碾米工廠,99643251,臺中市沙鹿區福興里鎮南路二段一五一號,08食品製造業,086碾榖、磨粉及澱粉製品
216,66000,東昇碾米工廠,99643310,臺中市東勢區慶東里東關路二四四號,08食品製造業,086碾榖、磨粉及澱粉製品
217,66000,慧顯食品工廠,99643316,臺中市太平區中興里永義一二街三號,08食品製造業,089其他食品
218,66000,日清食品工廠,99643337,臺中市大甲區文武里育英路一七六巷一三號,08食品製造業,089其他食品
219,66000,穗億食品加工有限公司,99643480,臺中市神岡區岸裡里大豐路五段455巷17號,08食品製造業,089其他食品
220,66000,順裕實業廠股份有限公司,99643505,臺中市新社區中正里中和街五段七二號,08食品製造業,083蔬果處理及其製品
221,66000,巫泰豐碾米工廠,99643546,臺中市東勢區茂興里東蘭路194號,08食品製造業,086碾榖、磨粉及澱粉製品
222,66000,寶島米行,99643616,臺中市外埔區大東里大馬路四０八號,08食品製造業,086碾榖、磨粉及澱粉製品
223,66000,蒂興企業廠,99643658,臺中市外埔區六分里月眉西路500巷1號,"08食品製造業,18化學材料製造業","087動物飼料,183肥料"
224,66000,大芳行食品廠,99643671,臺中市豐原區翁子里豐勢路一段五八五巷一二號,08食品製造業,089其他食品
225,66000,施協發碾米工廠,99643672,臺中市東勢區北興里本街三五一號,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
226,66000,小林煎餅股份有限公司,99643739,臺中市外埔區鐵山里長生路八一四號,08食品製造業,089其他食品
227,66000,吉利碾米工廠,99643766,臺中市沙鹿區鹿峰里星河路397號,08食品製造業,086碾榖、磨粉及澱粉製品
228,66000,唯新食品股份有限公司,99643777,臺中市清水區下湳里高美路六六號,08食品製造業,"081肉類處理及其製品,083蔬果處理及其製品,089其他食品"
229,66000,一生家食品行,99643834,臺中市豐原區北湳里大順街八巷七三號,08食品製造業,089其他食品
230,66000,源益製油加工廠,99643856,臺中市石岡區和盛里豐勢路四八號,08食品製造業,084食用油脂
231,66000,全國棧餐盒食品廠,99643877,臺中市沙鹿區斗抵里斗潭路三六號,08食品製造業,089其他食品
232,66000,昱信物產企業有限公司,99643878,臺中市豐原區朴子里朴子街一五一號,08食品製造業,089其他食品
233,66000,外埔農會酪農鮮乳加工廠,99643888,臺中市外埔區永豐里六分路五二號,"09飲料製造業,08食品製造業","085乳品,092非酒精飲料"
234,66000,義華食品有限公司,99643916,臺中市豐原區中山里中正路197號,08食品製造業,089其他食品
235,66000,加豐冷凍股份有限公司,99643925,臺中市石岡區萬興里豐勢路619號,08食品製造業,083蔬果處理及其製品
236,66000,永光米廠,99643936,臺中市豐原區西湳里三豐路七六七號,08食品製造業,086碾榖、磨粉及澱粉製品
237,66000,昱沅企業股份有限公司,99643952,臺中市大雅區上楓里民生路三段267巷5號,08食品製造業,089其他食品
238,66000,永川碾米廠,99643961,臺中市大肚區王田里沙田路一段二０八巷七八號,08食品製造業,086碾榖、磨粉及澱粉製品
239,66000,洽發興企業股份有限公司麥片廠,99644014,臺中市沙鹿區興安里斗潭路四八０號,08食品製造業,086碾榖、磨粉及澱粉製品
240,66000,立喜食品行,99644020,臺中市后里區后里里甲后路412號,08食品製造業,089其他食品
241,66000,金億食品廠,99644024,臺中市后里區月眉里安眉路一二八號,08食品製造業,089其他食品
242,66000,梓楠碾米工廠,99644063,臺中市霧峰區中正里四德路四八號,08食品製造業,086碾榖、磨粉及澱粉製品
243,66000,英成行,99644104,臺中市外埔區大同里甲后路四二一號,08食品製造業,086碾榖、磨粉及澱粉製品
244,66000,栗林米店,99644105,臺中市潭子區栗林里豐栗路13巷12號,08食品製造業,086碾榖、磨粉及澱粉製品
245,66000,洽和油廠,99644209,臺中市沙鹿區洛泉里中山路二二七號,08食品製造業,084食用油脂
246,66000,侑芳食品廠,99644211,臺中市大甲區日南里工七路一六號,08食品製造業,089其他食品
247,66000,源福順碾米工廠,99644275,臺中市霧峰區北勢里丁臺路一０００號,08食品製造業,086碾榖、磨粉及澱粉製品
248,66000,義順碾米製油廠,99644280,臺中市霧峰區甲寅里中正路1105巷2-1號,08食品製造業,086碾榖、磨粉及澱粉製品
249,66000,陸順碾米工廠,99644305,臺中市外埔區三崁里三崁路一０號,08食品製造業,086碾榖、磨粉及澱粉製品
250,66000,大豪食品有限公司,99644321,臺中市烏日區九德里長春街五八三巷六號,08食品製造業,089其他食品
251,66000,洪隆昌碾米廠,99644367,臺中市霧峰區南勢里豊正路五七九號,08食品製造業,086碾榖、磨粉及澱粉製品
252,66000,外和米工廠,99644392,臺中市外埔區大同里重光路八號,08食品製造業,086碾榖、磨粉及澱粉製品
